epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5156,0.75677,1.63695,2.95374,1.07925,0,0.76565,0.16818,0.26808,0.225,0.76254,0.16364,0.24736,0.19713,0.70128,1.72794,2.51817,1.03443,0,0.000360324,0.000360324,0.000360324
2,23.0838,0.82526,1.45669,2.0162,1.1032,0,0.35326,0.35466,0.36385,0.28981,0.33379,0.32799,0.34266,0.25538,0.9036,1.99546,1.91274,1.19725,0,0.000723424,0.000723424,0.000723424
3,31.9858,0.83093,1.31363,1.64187,1.08706,0,0.72801,0.3146,0.39595,0.29773,0.70679,0.2953,0.38111,0.26908,1.01942,2.01523,1.88742,1.28252,0,0.00107919,0.00107919,0.00107919
4,42.0508,0.85265,1.37515,1.64429,1.11445,0,0.51235,0.55579,0.45536,0.34316,0.49113,0.54403,0.4342,0.32168,1.013,1.78378,1.73752,1.27847,0,0.001078,0.001078,0.001078
5,52.0487,0.82852,1.25481,1.55688,1.08481,0,0.80122,0.59375,0.64414,0.48249,0.79868,0.58593,0.61398,0.47165,0.94796,1.44505,1.75468,1.20449,0,0.001067,0.001067,0.001067
6,60.5375,0.8001,1.11928,1.40847,1.0722,0,0.54763,0.67321,0.64764,0.51012,0.54284,0.65511,0.63207,0.50488,0.83309,1.34785,1.48347,1.12599,0,0.00105601,0.00105601,0.00105601
7,70.2531,0.7761,1.19502,1.31091,1.05513,0,0.612,0.54783,0.6621,0.4932,0.68087,0.4999,0.63456,0.50544,0.8899,1.39431,1.52408,1.17508,0,0.00104501,0.00104501,0.00104501
8,79.9196,0.775,1.19499,1.32184,1.05498,0,0.71302,0.59273,0.72582,0.52454,0.70909,0.61493,0.73651,0.58937,0.89761,1.23535,1.40934,1.17017,0,0.00103401,0.00103401,0.00103401
9,88.2053,0.73254,1.09,1.22812,1.03948,0,0.73826,0.69368,0.7384,0.57853,0.72126,0.69791,0.733,0.59381,0.78307,1.15235,1.249,1.11231,0,0.00102301,0.00102301,0.00102301
10,97.9545,0.7415,1.1579,1.24444,1.04756,0,0.77166,0.6513,0.7724,0.61302,0.73914,0.62701,0.73901,0.58893,0.80722,1.28549,1.22476,1.12276,0,0.00101201,0.00101201,0.00101201
11,107.795,0.69859,1.09031,1.14392,1.02796,0,0.717,0.70375,0.77795,0.61187,0.66765,0.73747,0.75817,0.59396,0.77314,1.23089,1.28914,1.11534,0,0.00100101,0.00100101,0.00100101
12,117.807,0.66917,0.99257,1.0687,0.99949,0,0.75344,0.76116,0.81212,0.67121,0.77471,0.77917,0.82322,0.66755,0.72892,1.13684,1.01677,1.06425,0,0.000990012,0.000990012,0.000990012
13,126.219,0.69737,0.98054,1.04204,1.01221,0,0.77519,0.78556,0.84409,0.66399,0.76578,0.77613,0.8469,0.7005,0.77954,1.0618,1.03534,1.08649,0,0.000979013,0.000979013,0.000979013
14,136.196,0.64604,0.92023,1.01369,0.99492,0,0.84051,0.62175,0.80722,0.66045,0.64874,0.83528,0.80504,0.66498,0.72087,1.12581,0.9645,1.07444,0,0.000968014,0.000968014,0.000968014
15,146.048,0.70154,1.05034,1.02882,1.00237,0,0.81144,0.75001,0.82062,0.6771,0.81144,0.75001,0.82042,0.66835,0.7195,1.14071,0.95384,1.0654,0,0.000957015,0.000957015,0.000957015
16,154.421,0.67599,1.02626,0.97958,1.00621,0,0.84212,0.75616,0.82923,0.66417,0.84212,0.75616,0.8306,0.66102,0.67614,1.09893,0.92998,1.05647,0,0.000946016,0.000946016,0.000946016
17,163.949,0.65476,0.96267,0.98828,0.99979,0,0.85871,0.77533,0.85866,0.70794,0.85276,0.78204,0.84413,0.67695,0.66498,1.04019,0.86028,1.03099,0,0.000935018,0.000935018,0.000935018
18,173.718,0.684,1.03194,0.99714,1.01538,0,0.88414,0.71977,0.83531,0.67605,0.87643,0.7139,0.8272,0.67521,0.68361,1.01859,0.8503,1.06039,0,0.000924019,0.000924019,0.000924019
19,182.489,0.63076,0.95582,0.92917,0.99573,0,0.82888,0.78683,0.8795,0.69947,0.81554,0.76944,0.85864,0.68295,0.67847,1.08995,0.90351,1.02327,0,0.00091302,0.00091302,0.00091302
20,191.587,0.60057,0.84473,0.85246,0.97218,0,0.86368,0.75207,0.82589,0.67589,0.85841,0.74352,0.81656,0.65874,0.68826,1.10208,0.9021,1.03599,0,0.000902021,0.000902021,0.000902021
21,201.047,0.64738,0.95441,0.90748,1.00131,0,0.77236,0.74234,0.843,0.68077,0.71247,0.78658,0.82789,0.66815,0.65697,1.10168,0.92143,0.99916,0,0.000891022,0.000891022,0.000891022
22,210.294,0.63107,0.9551,0.89921,0.99916,0,0.83775,0.80811,0.86904,0.71135,0.82289,0.79368,0.84576,0.70483,0.67579,0.99632,0.79381,1.0402,0,0.000880023,0.000880023,0.000880023
23,218.756,0.61571,0.86117,0.80881,0.97753,0,0.8253,0.73332,0.83626,0.6758,0.81997,0.72681,0.83095,0.68015,0.72018,1.10053,0.80926,1.06181,0,0.000869024,0.000869024,0.000869024
24,228.477,0.613,0.88922,0.81617,0.97874,0,0.80117,0.89403,0.91132,0.76663,0.80083,0.89323,0.91035,0.75263,0.62239,1.0096,0.74771,0.99001,0,0.000858025,0.000858025,0.000858025
25,238.302,0.61379,0.95947,0.81864,0.97651,0,0.82557,0.85135,0.89741,0.75989,0.84336,0.85237,0.90085,0.75313,0.60632,1.0006,0.71074,0.97,0,0.000847026,0.000847026,0.000847026
26,246.935,0.60568,0.83211,0.78512,0.97195,0,0.87909,0.84917,0.90877,0.78252,0.87261,0.84332,0.90015,0.75473,0.59593,0.992,0.66472,0.95709,0,0.000836027,0.000836027,0.000836027
27,256.715,0.58751,0.82321,0.79328,0.9676,0,0.90608,0.7806,0.89474,0.76529,0.89921,0.77454,0.88934,0.74814,0.56508,0.97684,0.7299,0.9723,0,0.000825029,0.000825029,0.000825029
28,266.645,0.60669,0.8731,0.79491,0.98723,0,0.74472,0.88285,0.88283,0.73432,0.81187,0.77572,0.84928,0.70057,0.61739,1.09753,0.79282,1.00165,0,0.00081403,0.00081403,0.00081403
29,275.908,0.57965,0.82943,0.74557,0.9787,0,0.8999,0.77007,0.8847,0.75408,0.89361,0.764,0.87692,0.75214,0.60745,0.97603,0.68095,1.00571,0,0.000803031,0.000803031,0.000803031
30,284.721,0.55096,0.73481,0.70843,0.95111,0,0.83977,0.90094,0.91902,0.78879,0.8369,0.89751,0.9234,0.77758,0.57689,0.89845,0.69187,0.98911,0,0.000792032,0.000792032,0.000792032
31,294.773,0.56847,0.80051,0.70983,0.95794,0,0.92268,0.87883,0.92447,0.79261,0.93669,0.89261,0.94789,0.78412,0.58424,0.96012,0.67716,0.9824,0,0.000781033,0.000781033,0.000781033
32,304.595,0.58419,0.82349,0.71755,0.96496,0,0.89622,0.89569,0.91589,0.77809,0.88673,0.88633,0.91162,0.76588,0.61286,1.19487,0.68565,0.99051,0,0.000770034,0.000770034,0.000770034
33,313.222,0.56682,0.79617,0.69964,0.95928,0,0.84672,0.81491,0.88207,0.74052,0.84691,0.81702,0.88365,0.75495,0.62202,0.96109,0.69572,1.01871,0,0.000759035,0.000759035,0.000759035
34,322.804,0.55382,0.78787,0.69508,0.95144,0,0.85236,0.82771,0.89507,0.75615,0.86066,0.83278,0.90845,0.7608,0.5954,0.9593,0.75772,1.00204,0,0.000748036,0.000748036,0.000748036
35,332.483,0.54699,0.77002,0.69336,0.96424,0,0.77787,0.90826,0.88969,0.7779,0.78041,0.91273,0.89677,0.75478,0.56253,1.02809,0.65995,0.9542,0,0.000737037,0.000737037,0.000737037
36,341.545,0.52572,0.74747,0.69434,0.94888,0,0.80484,0.89365,0.90136,0.75827,0.79306,0.88177,0.88655,0.75946,0.56876,1.09402,0.63144,0.95768,0,0.000726038,0.000726038,0.000726038
37,350.333,0.53495,0.79782,0.68831,0.94424,0,0.87691,0.90116,0.91532,0.76907,0.86344,0.86752,0.8973,0.78047,0.59422,0.88267,0.72216,0.97434,0,0.00071504,0.00071504,0.00071504
38,360.133,0.54654,0.79873,0.66441,0.94852,0,0.93295,0.866,0.91613,0.80464,0.93874,0.87127,0.91713,0.78429,0.57985,0.90775,0.72128,0.97188,0,0.000704041,0.000704041,0.000704041
39,369.812,0.55206,0.79364,0.67973,0.94463,0,0.87899,0.90902,0.93408,0.82431,0.87261,0.90374,0.93341,0.8161,0.54626,0.88792,0.63798,0.9531,0,0.000693042,0.000693042,0.000693042
40,378.162,0.53022,0.72596,0.61823,0.93802,0,0.91304,0.84072,0.90317,0.78891,0.91515,0.83904,0.90479,0.76198,0.54486,0.94148,0.60944,0.95053,0,0.000682043,0.000682043,0.000682043
41,387.664,0.52903,0.77503,0.61941,0.94602,0,0.87694,0.78199,0.82818,0.72943,0.89764,0.80567,0.84696,0.6963,0.6088,1.02756,0.71702,0.9888,0,0.000671044,0.000671044,0.000671044
